Z,Roll,Pitch,Area
80,10,0,0.1446350487722839
-75,15,0,0.6515304406323579
-70,15,0,0.7075344769593004
-65,15,0,0.7584931046081399
-60,15,0,0.8045745038681467
-55,15,0,0.8457786747393206
-50,15,0,0.8821056172216616
-45,15,0,0.9135553313151699
-40,15,0,0.9401278170198453
-35,15,0,0.9619912546249579
-30,15,0,0.9788092835519677
-25,15,0,0.9907500840901446
-20,15,0,0.9978136562394887
-15,15,0,1.0
-10,15,0,1.0
-5,15,0,1.0
0,15,0,1.0
5,15,0,0.9890871297419019
10,15,0,0.9662220682487441
15,15,0,0.9383336220336047
20,15,0,0.9055950112593106
25,15,0,0.8676597956002079
30,15,0,0.8247011952191236
35,15,0,0.7768924302788844
40,15,0,0.7238870604538368
45,15,0,0.6658583059068075
50,15,0,0.6029793868006236
55,15,0,0.5349038628096311
60,15,0,0.4619781742594838
65,15,0,0.383855880824528
70,15,0,0.30088342283041747
75,15,0,0.21271435995149834
-70,20,0,0.6996362376580634
-65,20,0,0.7521219469946302
-60,20,0,0.7994110514463884
-55,20,0,0.8418499913389919
-50,20,0,0.8792655465096137
-45,20,0,0.911484496795427
-40,20,0,0.9388532825220856
-35,20,0,0.9611986835267625
-30,20,0,0.9783474796466308
-25,20,0,0.9906461112073446
-20,20,0,0.9979213580460765
-15,20,0,1.0
-10,20,0,1.0
-5,20,0,1.0
0,20,0,1.0
5,20,0,0.9906926794344013
10,20,0,0.9668874172185431
15,20,0,0.9380705208519778
20,20,0,0.9040630034007517
25,20,0,0.8648648648648649
30,20,0,0.8204761052443171
35,20,0,0.7708967245391086
40,20,0,0.7161267227492393
45,20,0,0.6561660998747092
50,20,0,0.5908358689815644
55,20,0,0.5204940039377125
60,20,0,0.4449615178091999
65,20,0,0.36423841059602646
70,20,0,0.27832468229819224
-65,25,0,0.7447646321818507
-60,25,0,0.793628065151244
-55,25,0,0.8373008770359763
-50,25,0,0.875783067836048
-45,25,0,0.9090746375514588
-40,25,0,0.9371755861822088
-35,25,0,0.9602649006622517
-30,25,0,0.97798460712368
-25,25,0,0.9905136925004475
-20,25,0,0.9978521567925541
-15,25,0,1.0
-10,25,0,1.0
-5,25,0,1.0
0,25,0,1.0
5,25,0,0.9923904974016332
10,25,0,0.967706013363029
15,25,0,0.9376391982182628
20,25,0,0.9023756495916853
25,25,0,0.8615441722345955
30,25,0,0.8153303637713437
35,25,0,0.7639198218262806
40,25,0,0.7069413511507052
45,25,0,0.6447661469933185
50,25,0,0.5770230141054195
55,25,0,0.5038975501113586
60,25,0,0.4255753526354863
65,25,0,0.3416852264291017
-60,30,0,0.7867483296213809
-55,30,0,0.8320341499628805
-50,30,0,0.8717520415738679
-45,30,0,0.9062731997030438
-40,30,0,0.9354120267260579
-35,30,0,0.9589829250185598
-30,30,0,0.9773570898292502
-25,30,0,0.9903489235337788
-20,30,0,0.9979584261321455
-15,30,0,1.0
-10,30,0,1.0
-5,30,0,1.0
0,30,0,1.0
5,30,0,0.9940108191653787
10,30,0,0.9683153013910355
15,30,0,0.9370170015455951
20,30,0,0.9001159196290572
25,30,0,0.857612055641422
30,30,0,0.8095054095826894
35,30,0,0.7557959814528593
40,30,0,0.696483771251932
45,30,0,0.6313755795981453
50,30,0,0.5608578052550232
55,30,0,0.4847372488408037
60,30,0,0.40301391035548684
-55,35,0,0.8257341576506955
-50,35,0,0.8672720247295209
-45,35,0,0.9030139103554868
-40,35,0,0.9331530139103554
-35,35,0,0.9576893353941267
-30,35,0,0.9766228748068007
-25,35,0,0.990146831530139
-20,35,0,0.9978748068006182
-15,35,0,1.0
-10,35,0,1.0
-5,35,0,1.0
0,35,0,1.0
5,35,0,0.9959604120379721
10,35,0,0.9690971520904867
15,35,0,0.9361745101999596
20,35,0,0.897394465764492
25,35,0,0.8529589981821855
30,35,0,0.802464148656837
